pair_id,ground_truth,answer_in_high_context,answer_in_low_context
fix01_853aaf4754e1,more dramatic form,True,False
fix01_dd89736748eb,computational complexity theory,False,True
fix01_37eaaebe5f47,learning,True,True
fix01_9a7ed2b2e654,mosaics,False,False
fix01_cb00eac21a93,concrete,False,False
fix01_4c38e5bfb46e,Jazdów,False,False
fix01_c9aaef2be2cd,German vernacular,False,True
fix01_162353a08e1e,BBC Radio 5,False,False
fix01_61a4db03062c,10,False,False
fix01_7875a03f4047,New Orleans,False,True
fix01_89a0f8e46026,McManus,True,True
fix01_ffb5b0bbe122,Interactive,False,False
fix01_d5a5a5515bab,1888,True,True
fix01_6fa1c0ef04ef,child protection and parental rights groups,False,True
fix01_68c35ebe5fb2,"February 1, 2016",False,False
fix01_b05a94846277,freedom of ceremony,False,False
fix01_31d8a12355f6,Archangel Michael,False,False
fix01_1e16173be7fb,immediate and fair punishment for misbehavior,False,True
fix01_0b4ce7680eeb,12%,True,False
fix01_d57a37338fc3,almost a month,False,False
fix01_9cdd6f89d600,John Fox,False,False
fix01_06a7978f30d7,big O notation,False,False
fix01_a798efb9a8a5,World Today,False,False
fix01_f4c161fcabf6,natural grass,False,False
fix01_25378996f971,relativity,False,False
fix01_14f22c9a02b3,spectacular,False,False
fix01_86f91d2a33e3,"June 4, 2014",False,False
fix01_644b3811630a,1937,False,False
fix01_d49dfff0fa73,San Francisco Bay Area's Levi's Stadium,False,True
fix01_84cf12d2d769,underground leader Piłsudski,False,False
fix01_7dba98d8cd80,36,True,False
fix01_2a059842409e,Danny Trevathan,False,True
fix01_873df9d40fd5,lines or a punishment essay,False,False
fix01_1645d40277bb,DTIME(n2),False,False
fix01_ec6352868f24,Rome,True,False
fix01_02fc34ec7b16,four,True,True
fix01_8704efd76d09,Dyrrachium,True,True
fix01_be52e50ea748,Tiffany & Co.,False,False
fix01_41285ac2f571,roughly 260 kilometres,False,False
fix01_2a116d7e841d,Super Bowl City,True,False
fix01_ee82671d0c26,New England Patriots,False,False
fix01_13eda42baaf7,20 December 1914,False,False
fix01_6c6d928f9266,1887,False,False
fix01_4c59ae30d388,Newton,True,True
fix01_0f548413c606,Miami's Sun Life Stadium,False,False
fix01_1eed5dee00b5,a commutator,False,False
fix01_367b38d6e7cc,his mother's genetics and influence,False,True
fix01_443828252e04,Roger Goodell,False,False
fix01_25db13e82adc,priest,False,False
fix01_3de7c0276b8c,teleautomaton,False,False
fix01_dc174e19c195,Boomer Esiason and Dan Fouts,False,False
fix01_4614d28dcbe4,1489,False,False
fix01_55d94ef18e89,the Teaching Council,False,True
fix01_26315f8dbeba,Stanford University,False,False
fix01_c515c34fca85,God's punishment,False,False
fix01_d295077c8eb1,Tesla Polyphase System,False,False
fix01_b87f8518424c,September 1939,False,False
fix01_fe6f70768bf6,polynomial-time reduction,False,False
fix01_df177e4ffe29,24,True,True
fix01_380bdfd008a9,Von Miller,True,True
fix01_9cd403c30b83,fighting horsemen,True,False
fix01_1ec37ae1f42b,39.,True,False
fix01_3e60ef9f0b54,women,False,False
fix01_9b94d40f8f7b,three.,True,True
fix01_16dfabd1aa8f,Emmanuel Sanders,False,False
fix01_0b1ea8525f98,Warsaw,True,True
fix01_9a5d152bdd5d,12th/13th-century nobleman,False,False
fix01_f251a5944e6e,Protestant,False,True
fix01_31c225636102,Saxon Garden,False,False
fix01_6430eac84057,1888,False,False
fix01_292b999f3335,WBT,False,False
fix01_5cebadddcc0f,Oireachtas funds,False,False
fix01_d53e3d8f0d18,Sentences by Peter Lombard,False,True
fix01_94fca545c202,1961,False,False
fix01_90a05de0a36b,Tesla would be killed through overwork,False,False
fix01_02e585182bb4,state transitions,False,False
