condition,question,ground_truth,answer,faithfulness_score,is_hallucination,retrieval_latency_ms,generation_latency_ms,total_latency_ms,indexing_cost_note,dataset,model,base_index_s,raptor_index_s
crag,What city did Super Bowl 50 take place in?,Santa Clara, San Francisco Bay Area,0.4784,True,42.631,482.701,525.331,,squad,mistral,7.914,163.862
raptor_2l,What city did Super Bowl 50 take place in?,Santa Clara," Santa Clara (specifically Levi's Stadium) in the San Francisco Bay Area, California",0.5782,False,8.532,1283.473,1292.005,,squad,mistral,7.914,163.862
selfrag,What city did Super Bowl 50 take place in?,Santa Clara,"The San Fran cis co B ay Area is an ew s and t our ist dest ination , as well as be ing home o ft he San Fran cis co 4 9 ers .  </s>",0.4489,True,0.0,7696.932,7696.932,Self-RAG fine-tuned checkpoint; no extra corpus index beyond dense retrieval.,squad,selfrag/selfrag_llama2_7b,7.914,163.862
hcpc_v2,"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L," Super Bowl 50 would have been called Super Bowl L if Roman numerals had been used, as stated in the context.",0.4443,True,45.055,1295.29,1340.344,,squad,mistral,7.914,163.862
crag,"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L," Super Bowl 50 would have been called ""Super Bowl L"" if Roman numerals had been used.",0.5494,False,40.529,826.934,867.463,,squad,mistral,7.914,163.862
raptor_2l,"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L," Super Bowl 50 would have been called ""Super Bowl L"" if Roman numerals had been used.",0.5494,False,8.184,1342.098,1350.282,,squad,mistral,7.914,163.862
selfrag,"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L,The Su pe B ow l 5 0 th ann iv ars ary w ould be h eld in 2 0 1 6 .  </s>,0.3894,True,0.0,5834.281,5834.281,Self-RAG fine-tuned checkpoint; no extra corpus index beyond dense retrieval.,squad,selfrag/selfrag_llama2_7b,7.914,163.862
hcpc_v2,Super Bowl 50 decided the NFL champion for what season?,2015, The Super Bowl 50 decided the NFL champion for the 2015 season.,0.6644,False,28.496,1020.387,1048.883,,squad,mistral,7.914,163.862
crag,Super Bowl 50 decided the NFL champion for what season?,2015, The Super Bowl 50 decided the NFL champion for the 2015 season.,0.6644,False,36.041,726.639,762.68,,squad,mistral,7.914,163.862
raptor_2l,Super Bowl 50 decided the NFL champion for what season?,2015, Super Bowl 50 decided the NFL champion for the 2015 season.,0.7112,False,8.237,1239.001,1247.239,,squad,mistral,7.914,163.862
selfrag,Super Bowl 50 decided the NFL champion for what season?,2015,</s>,1.0,False,0.0,1261.817,1261.817,Self-RAG fine-tuned checkpoint; no extra corpus index beyond dense retrieval.,squad,selfrag/selfrag_llama2_7b,7.914,163.862
hcpc_v2,What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," The provided context does not specify the exact year when the Denver Broncos secured a Super Bowl title for the third time, but it implies that the event happened after their regular season in 2015 (as they played against the Panthers in Super Bowl 50). However, to confirm the exact year, additional information or context would be needed.",0.7652,False,29.575,2335.742,2365.317,,squad,mistral,7.914,163.862
crag,What year did the Denver Broncos secure a Super Bowl title for the third time?,2015," I cannot find this information in the provided context. The context only mentions that the Denver Broncos won Super Bowl 50, but it does not specify the year. To determine the year, one would need to know that Super Bowl 50 was held on February 7, 2016.",0.672,False,37.041,2073.285,2110.326,,squad,mistral,7.914,163.862
raptor_2l,What year did the Denver Broncos secure a Super Bowl title for the third time?,2015, The Denver Broncos secured a Super Bowl title for the third time in the year 2015.,0.7632,False,7.616,1121.484,1129.099,,squad,mistral,7.914,163.862
selfrag,What year did the Denver Broncos secure a Super Bowl title for the third time?,2015,Th ise ight be en one of th em ost t alk ed ab out g ames in N FL history .   </s>,0.7601,False,0.0,4644.372,4644.372,Self-RAG fine-tuned checkpoint; no extra corpus index beyond dense retrieval.,squad,selfrag/selfrag_llama2_7b,7.914,163.862
hcpc_v2,What city did Super Bowl 50 take place in?,Santa Clara," The Super Bowl 50 took place in Santa Clara, which is part of the San Francisco Bay Area.",0.9421,False,46.467,1214.954,1261.421,,squad,mistral,7.914,163.862
crag,What city did Super Bowl 50 take place in?,Santa Clara, San Francisco Bay Area,0.4784,True,46.221,483.609,529.83,,squad,mistral,7.914,163.862
raptor_2l,What city did Super Bowl 50 take place in?,Santa Clara," Santa Clara (specifically Levi's Stadium) in the San Francisco Bay Area, California",0.5782,False,6.899,1280.748,1287.647,,squad,mistral,7.914,163.862
selfrag,What city did Super Bowl 50 take place in?,Santa Clara,"The San Fran cis co B ay Area is an ew s and t our ist dest ination , as well as be ing home o ft he San Fran cis co 4 9 ers .  </s>",0.4489,True,0.0,7780.104,7780.104,Self-RAG fine-tuned checkpoint; no extra corpus index beyond dense retrieval.,squad,selfrag/selfrag_llama2_7b,7.914,163.862
hcpc_v2,What stadium did Super Bowl 50 take place in?,Levi's Stadium, Levi's Stadium,0.5799,False,29.146,448.12,477.266,,squad,mistral,7.914,163.862
crag,What stadium did Super Bowl 50 take place in?,Levi's Stadium, Levi's Stadium,0.5799,False,45.032,512.423,557.456,,squad,mistral,7.914,163.862
raptor_2l,What stadium did Super Bowl 50 take place in?,Levi's Stadium," Levi's Stadium in Santa Clara, California",0.793,False,7.846,1030.945,1038.791,,squad,mistral,7.914,163.862
selfrag,What stadium did Super Bowl 50 take place in?,Levi's Stadium,"The San Fran cis co B ay Area is al so home o ft he N FL ' s San Fran cis co 4 9 ers , N BA ' s G old en State W ar riors , and ML S ' s San Jose E arth qu akes .  </s>",0.5036,False,0.0,10597.468,10597.468,Self-RAG fine-tuned checkpoint; no extra corpus index beyond dense retrieval.,squad,selfrag/selfrag_llama2_7b,7.914,163.862
hcpc_v2,What was the final score of Super Bowl 50? ,24–10," The final score of Super Bowl 50 was 24–10, with the American Football Conference (AFC) champion Denver Broncos defeating the National Football Conference (NFC) champion Carolina Panthers.",0.8695,False,49.752,1600.467,1650.218,,squad,mistral,7.914,163.862
crag,What was the final score of Super Bowl 50? ,24–10, The final score of Super Bowl 50 was 24–10 (Denver Broncos vs Carolina Panthers).,0.8873,False,39.093,955.385,994.478,,squad,mistral,7.914,163.862
raptor_2l,What was the final score of Super Bowl 50? ,24–10, The final score of Super Bowl 50 was 24–10 in favor of the Denver Broncos.,0.7805,False,7.417,1370.243,1377.661,,squad,mistral,7.914,163.862
selfrag,What was the final score of Super Bowl 50? ,24–10,"The Pat ri ots w ere led by qu arter back Tom B rad y , wh oh ad 2 8 7 pass es for 2 6 4 yard st h row ing tw ot od own s , and 1 inter ception .  </s>",0.3459,True,0.0,8687.763,8687.763,Self-RAG fine-tuned checkpoint; no extra corpus index beyond dense retrieval.,squad,selfrag/selfrag_llama2_7b,7.914,163.862
hcpc_v2,"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 7, 2016.",0.945,False,49.214,835.048,884.262,,squad,mistral,7.914,163.862
crag,"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," The Super Bowl 50 took place on February 7, 2016.",0.945,False,45.234,888.755,933.989,,squad,mistral,7.914,163.862
raptor_2l,"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"," February 7, 2016",0.6229,False,8.129,983.932,992.061,,squad,mistral,7.914,163.862
selfrag,"What month, day and year did Super Bowl 50 take place? ","February 7, 2016","The 5 0 th Su per B ow l w ould be he ald on Fe ab ru ary 7 , 2 0 1 6 , at Le vi ' s St ad ium in San Fran cis co B ay Area .  </s>",0.5088,False,0.0,8771.661,8771.661,Self-RAG fine-tuned checkpoint; no extra corpus index beyond dense retrieval.,squad,selfrag/selfrag_llama2_7b,7.914,163.862
hcpc_v2,What year was Super Bowl 50?,2015," The provided context states that Super Bowl 50 was played on February 7, 2016.",0.9731,False,27.374,892.982,920.356,,squad,mistral,7.914,163.862
crag,What year was Super Bowl 50?,2015," The provided context does not specify the exact year when Super Bowl 50 took place, but we can infer that it happened in 2016 since the game was played on February 7, 2016.",0.6406,False,33.356,1478.633,1511.989,,squad,mistral,7.914,163.862
raptor_2l,What year was Super Bowl 50?,2015, 2016,1.0,False,7.926,868.402,876.328,,squad,mistral,7.914,163.862
selfrag,What year was Super Bowl 50?,2015,</s>,1.0,False,0.0,1032.463,1032.463,Self-RAG fine-tuned checkpoint; no extra corpus index beyond dense retrieval.,squad,selfrag/selfrag_llama2_7b,7.914,163.862
hcpc_v2,What team was the AFC champion?,Denver Broncos, The Denver Broncos were the AFC champion.,0.6101,False,26.722,699.6,726.321,,squad,mistral,7.914,163.862
crag,What team was the AFC champion?,Denver Broncos, The Denver Broncos were the AFC champion.,0.6101,False,36.694,528.777,565.471,,squad,mistral,7.914,163.862
raptor_2l,What team was the AFC champion?,Denver Broncos, The Denver Broncos were the AFC champion.,0.6101,False,7.896,827.651,835.547,,squad,mistral,7.914,163.862
selfrag,What team was the AFC champion?,Denver Broncos,The Br ons co ff in ished the  </s>,0.5902,False,0.0,2844.268,2844.268,Self-RAG fine-tuned checkpoint; no extra corpus index beyond dense retrieval.,squad,selfrag/selfrag_llama2_7b,7.914,163.862
hcpc_v2,What team was the NFC champion?,Carolina Panthers, The NFC champion was the Carolina Panthers.,0.806,False,29.389,845.741,875.13,,squad,mistral,7.914,163.862
crag,What team was the NFC champion?,Carolina Panthers, The NFC champion was the Carolina Panthers.,0.806,False,42.311,636.47,678.781,,squad,mistral,7.914,163.862
raptor_2l,What team was the NFC champion?,Carolina Panthers, The Carolina Panthers were the NFC champion in the 2015 NFL season.,0.7093,False,7.878,1118.356,1126.234,,squad,mistral,7.914,163.862
selfrag,What team was the NFC champion?,Carolina Panthers,"The Pa ant he ers w ere led to a 5 0 th Su per B ow l , the ir th ird app earance in this ann ual g am et ype .  </s>",0.8015,False,0.0,7658.976,7658.976,Self-RAG fine-tuned checkpoint; no extra corpus index beyond dense retrieval.,squad,selfrag/selfrag_llama2_7b,7.914,163.862
hcpc_v2,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,51.875,857.652,909.527,,squad,mistral,7.914,163.862
crag,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,37.417,534.235,571.651,,squad,mistral,7.914,163.862
raptor_2l,Who won Super Bowl 50?,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,7.927,984.718,992.645,,squad,mistral,7.914,163.862
selfrag,Who won Super Bowl 50?,Denver Broncos,The Pat ri ots w ere a ward ed  the ir th ird Su per B ow l title .  </s>,0.6112,False,0.0,5151.73,5151.73,Self-RAG fine-tuned checkpoint; no extra corpus index beyond dense retrieval.,squad,selfrag/selfrag_llama2_7b,7.914,163.862
hcpc_v2,Super Bowl 50 determined the NFL champion for what season?,2015, The Super Bowl 50 determined the NFL champion for the 2015 season.,0.6757,False,49.743,885.437,935.18,,squad,mistral,7.914,163.862
crag,Super Bowl 50 determined the NFL champion for what season?,2015, The Super Bowl 50 determined the NFL champion for the 2015 season.,0.6757,False,32.837,732.393,765.23,,squad,mistral,7.914,163.862
raptor_2l,Super Bowl 50 determined the NFL champion for what season?,2015, The Super Bowl 50 determined the NFL champion for the 2015 season.,0.6757,False,7.081,1141.825,1148.905,,squad,mistral,7.914,163.862
selfrag,Super Bowl 50 determined the NFL champion for what season?,2015,</s>,1.0,False,0.0,1283.421,1283.421,Self-RAG fine-tuned checkpoint; no extra corpus index beyond dense retrieval.,squad,selfrag/selfrag_llama2_7b,7.914,163.862
hcpc_v2,Which team won Super Bowl 50.,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,28.475,455.351,483.825,,squad,mistral,7.914,163.862
crag,Which team won Super Bowl 50.,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,42.464,640.047,682.51,,squad,mistral,7.914,163.862
raptor_2l,Which team won Super Bowl 50.,Denver Broncos, The Denver Broncos won Super Bowl 50.,0.9247,False,6.612,1051.718,1058.33,,squad,mistral,7.914,163.862
selfrag,Which team won Super Bowl 50.,Denver Broncos,"The Su pe B ow l 5 0 w inner w ould be come a "" g old en om "" in N FL history .  </s>",0.6269,False,0.0,5952.06,5952.06,Self-RAG fine-tuned checkpoint; no extra corpus index beyond dense retrieval.,squad,selfrag/selfrag_llama2_7b,7.914,163.862
hcpc_v2,Where was Super Bowl 50 held?,"Santa Clara, California."," Super Bowl 50 was held at Levi's Stadium in Santa Clara, California.",0.9411,False,26.911,987.908,1014.819,,squad,mistral,7.914,163.862
crag,Where was Super Bowl 50 held?,"Santa Clara, California."," Super Bowl 50 was held at Levi's Stadium in Santa Clara, California.",0.9411,False,42.47,915.339,957.809,,squad,mistral,7.914,163.862
raptor_2l,Where was Super Bowl 50 held?,"Santa Clara, California."," Super Bowl 50 was held at Levi's Stadium in Santa Clara, California.",0.9411,False,6.761,1286.867,1293.628,,squad,mistral,7.914,163.862
selfrag,Where was Super Bowl 50 held?,"Santa Clara, California.",The San Fran cis co B ay Area is al so home o ft he N FL ' s O ak land  </s>,0.4843,True,0.0,5363.998,5363.998,Self-RAG fine-tuned checkpoint; no extra corpus index beyond dense retrieval.,squad,selfrag/selfrag_llama2_7b,7.914,163.862
hcpc_v2,The name of the NFL championship game is?,Super Bowl, Super Bowl 50,0.6293,False,49.892,468.116,518.008,,squad,mistral,7.914,163.862
crag,The name of the NFL championship game is?,Super Bowl," The context does not provide the name of the NFL championship game. However, it mentions that Super Bowl 50 was the NFL championship game for the 2015 season.",0.7164,False,32.597,1200.784,1233.381,,squad,mistral,7.914,163.862
raptor_2l,The name of the NFL championship game is?,Super Bowl," The name of the NFL championship game, as mentioned in the provided context, is Super Bowl 50.",0.6706,False,6.64,1333.856,1340.497,,squad,mistral,7.914,163.862
selfrag,The name of the NFL championship game is?,Super Bowl,"The N FL Ch amp ion ship G a ame is play ed on F ebru ary 6 , 2 0 1 6 , at Le vi ' s St ad ium in San Fran cis co B ay Area .  </s>",0.5793,False,0.0,8612.976,8612.976,Self-RAG fine-tuned checkpoint; no extra corpus index beyond dense retrieval.,squad,selfrag/selfrag_llama2_7b,7.914,163.862
hcpc_v2,What 2015 NFL team one the AFC playoff?,Denver Broncos, The Denver Broncos,0.6985,False,26.368,624.757,651.125,,squad,mistral,7.914,163.862
crag,What 2015 NFL team one the AFC playoff?,Denver Broncos," The provided context does not specify which 2015 NFL team won the AFC playoffs, but it does state that the Denver Broncos represented the AFC in Super Bowl 50 and went on to win. Therefore, we can infer that the Denver Broncos were the winners of the AFC playoffs for the 2015 season.",0.5273,False,26.793,2235.602,2262.395,,squad,mistral,7.914,163.862
raptor_2l,What 2015 NFL team one the AFC playoff?,Denver Broncos, The Denver Broncos won the AFC Championship Game in the 2015 NFL season and advanced to the Super Bowl.,0.6871,False,7.028,1302.37,1309.397,,squad,mistral,7.914,163.862
selfrag,What 2015 NFL team one the AFC playoff?,Denver Broncos,"The N FL season beg an on Se ptember 1 7 , 2 0 1 5 , and con cluded on J anu ary 9 , 2 0 1 6 .  </s>",0.2803,True,0.0,6607.806,6607.806,Self-RAG fine-tuned checkpoint; no extra corpus index beyond dense retrieval.,squad,selfrag/selfrag_llama2_7b,7.914,163.862
hcpc_v2,Which Carolina Panthers player was named Most Valuable Player?,Cam Newton, I cannot find this information in the provided context. The context does not mention any MVP award for the Carolina Panthers or any individual player.,0.7602,False,49.333,1471.666,1520.999,,squad,mistral,7.914,163.862
crag,Which Carolina Panthers player was named Most Valuable Player?,Cam Newton, I cannot find this information in the provided context. The context does not mention any MVP awards for the Carolina Panthers players.,0.7426,False,36.009,1044.995,1081.004,,squad,mistral,7.914,163.862
